,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
93,Gujarat Gas Ltd.,GUJGASLTD,Utilities:Non-Electrical,65.0,28.67,29993.16,4791.04,1293.15,-272.78,0.07,5.33,68.07,150.76,190.7,627.5,26.67,-0.55,-9.61,0.76,26.66,261.47,70.0,22.71,-8.93,0.46,60.89,6,185.92,13.42,25.18,22.86
94,Devyani International Ltd.,DEVYANI,Restaurants,55.0,8.0,18179.47,593.14,156.34,16.96,0.16,26.67,50.57,,,,,164.05,,383.18,,21.01,75.17,,-5.39,0.0,62.8,5,12.85,6.9,14.5,22.77
95,Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Specialty Chemicals,60.0,11.5,13154.91,429.06,224.93,64.91,0.0,13.28,11.55,688.74,1604.91,13036.48,-79.96,-23.91,-50.48,-23.85,-49.87,1.18,24.62,-42.9,13.0,0.23,72.03,5,438.42,16.39,29.32,22.72
96,Steel Authority of India (SAIL) Ltd.,SAIL,Iron & Steel/Interm.Products,85.0,91.33,29368.03,31175.25,12243.47,327.74,0.15,0.54,2.17,36.21,25.95,-19.66,-28.57,67.53,-46.64,195.16,-28.56,62.17,49.11,-23.59,21.83,11.67,65.0,8,295.86,10.19,22.19,22.58
97,Bharat Petroleum Corporation Ltd.,BPCL,Refineries/Petro-Products,50.0,67.33,69112.39,104681.93,11681.5,7000.2,0.7,1.31,1.85,-18.77,-21.92,154.94,-74.48,-10.14,-30.38,-27.74,-72.79,-0.08,50.19,-48.39,9.18,21.34,52.98,4,548.5,6.22,15.28,22.5
98,Redington (India) Ltd.,REDINGTON,Commodity Trading  & Distribution,65.0,72.67,10119.97,17324.44,1279.91,759.02,0.02,1.66,9.77,135.03,102.82,235.32,-42.6,33.37,3.4,69.21,15.03,-10.33,9.98,13.66,4.22,4.48,0.0,5,169.71,6.95,26.68,22.12
99,Aarti Industries Ltd.,AARTIIND,Specialty Chemicals,80.0,34.67,25926.29,1755.81,1307.19,165.03,0.16,4.38,11.55,60.51,221.44,3803.93,-31.63,96.51,-10.26,149.72,42.34,-74.92,55.34,30.34,-26.11,0.49,44.19,7,363.86,13.51,22.37,22.1
100,Power Grid Corporation of India Ltd.,POWERGRID,Electric Utilities,70.0,55.67,146693.77,11067.94,16824.07,-181.85,1.5,1.92,35.85,35.0,36.28,155.37,-11.57,4.5,-1.17,39.78,17.87,26.22,4.59,2.1,2.29,7.37,51.34,6,243.55,6.7,11.49,22.06
101,SRF Ltd.,SRF,Specialty Chemicals,85.0,20.33,68132.37,3556.65,1888.92,20.89,0.2,7.95,11.55,280.1,647.5,5656.32,-68.23,48.87,8.26,57.68,59.0,19.8,47.36,45.67,6.08,0.31,50.73,7,643.67,11.97,23.83,22.05
102,Sumitomo Chemical India Ltd.,SUMICHEM,Agrochemicals,90.0,13.5,20944.15,672.42,423.55,120.69,0.0,10.87,5.33,,,,38.89,23.22,22.7,22.63,38.01,-16.05,16.07,53.04,-5.96,0.19,75.0,9,85.86,14.07,29.26,21.97
103,Asian Paints Ltd.,ASIANPAINT,Furniture-Furnishing-Paints,40.0,6.0,261525.28,7973.06,3030.57,-1142.81,0.0,18.42,15.89,100.27,140.4,622.02,-0.11,-1.07,-7.73,-3.46,-0.2,-16.27,33.91,1.03,-7.44,0.7,52.63,4,324.39,13.18,28.33,21.94
104,Ajanta Pharma Ltd.,AJANTPHARM,Pharmaceuticals,60.0,25.83,15888.17,899.77,712.68,-24.37,0.0,4.89,6.18,94.55,22.59,1880.28,-3.8,-6.94,-30.71,8.99,-5.05,-21.15,18.55,-9.84,3.86,0.51,70.48,7,561.83,17.57,26.98,21.83
105,HCL Technologies Ltd.,HCLTECH,IT Consulting & Software,95.0,32.83,271895.67,22914.0,13499.0,2696.0,0.06,4.39,9.85,88.56,138.5,753.16,226.85,2.4,-3.45,21.12,226.04,4.39,13.65,12.02,1.19,4.39,60.72,8,505.46,15.16,24.58,21.8
106,Dhanuka Agritech Ltd.,DHANUKA,Agrochemicals,55.0,34.67,3281.44,330.49,208.89,-24.61,0.0,3.42,5.33,61.47,-19.34,628.54,11.77,-2.09,-12.66,-0.79,11.84,27.96,6.35,5.48,-10.81,1.42,70.0,6,456.14,15.91,27.86,21.75
107,Trident Ltd.,TRIDENT,Textiles,80.0,32.83,19619.43,1875.79,833.74,-220.19,0.08,5.1,3.69,509.18,396.13,3869.07,146.67,83.85,2.39,173.91,137.08,-14.14,54.4,64.42,-5.56,0.94,72.94,7,16.67,12.84,26.79,21.68
108,Jubilant Foodworks Ltd.,JUBLFOOD,Restaurants,70.0,3.17,35338.01,1188.61,420.39,-140.24,0.06,90.38,50.57,113.19,476.48,372.6,-81.6,43.77,2.08,81.46,-8.22,-27.73,31.09,14.64,-2.87,0.22,41.94,8,13.03,8.79,19.6,21.61
109,Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,Fertilizers,90.0,73.33,9343.78,2832.35,1710.41,94.93,0.0,1.17,5.26,151.76,128.94,615.29,107.11,137.59,17.75,145.41,107.12,18.94,64.96,82.17,16.44,1.33,41.18,9,1128.26,15.95,24.57,21.4
110,Nippon Life India Asset Management Ltd.,NAM-INDIA,Asset Management Cos.,60.0,21.5,17411.48,372.44,744.16,29.14,0.0,5.0,5.65,26.36,,,4.06,41.83,11.97,9.38,4.84,0.46,8.19,7.29,-0.17,1.25,73.8,6,122.7,19.6,27.43,21.39
111,Pfizer Ltd.,PFIZER,Pharmaceuticals,75.0,19.33,18736.89,566.78,612.56,-1612.58,0.0,6.54,6.18,24.77,129.2,250.78,25.11,17.36,28.01,23.1,25.1,-12.59,15.26,12.05,-18.68,0.85,63.92,7,1373.38,15.7,25.7,21.38
112,Muthoot Finance Ltd.,MUTHOOTFIN,Finance (including NBFCs),35.0,35.17,39865.63,3041.14,4016.62,1937.71,0.0,2.08,5.04,55.19,127.79,607.48,-2.24,4.54,0.36,5.58,-2.25,-4.11,5.8,-2.1,-4.27,2.01,73.37,2,1036.22,5.26,48.87,21.38
113,Eris Lifesciences Ltd.,ERIS,Pharmaceuticals,55.0,26.0,8751.2,314.01,406.11,-30.39,0.02,4.58,6.18,26.23,,,17.5,12.63,-6.78,14.35,17.65,-20.31,12.5,8.51,-7.89,0.93,52.66,4,307.19,17.87,21.53,21.28
114,Berger Paints (India) Ltd.,BERGEPAINT,Furniture-Furnishing-Paints,60.0,10.17,56555.31,2206.63,832.82,57.3,0.07,14.38,15.89,84.08,141.05,1083.43,5.58,12.04,-4.38,15.71,5.79,-12.69,28.49,5.77,-14.24,0.48,74.99,4,88.4,11.54,26.8,21.2
115,Borosil Renewables Ltd.,BORORENEW,Houseware,60.0,14.83,8653.62,182.34,165.85,1.36,0.18,11.02,7.77,287.53,,,-30.87,23.88,-38.2,85.01,-30.64,1.42,30.95,-41.44,6.26,0.0,61.69,3,131.29,15.71,23.35,21.13
116,Vaibhav Global Ltd.,VAIBHAVGBL,Other Apparels & Accessories,45.0,30.17,5013.91,693.88,237.46,0.43,0.0,4.43,18.65,84.89,195.28,3241.18,-90.34,-24.0,-52.37,-12.54,-51.44,-60.74,8.46,-48.66,-8.69,1.97,58.08,3,149.9,14.06,20.95,21.09
117,Adani Total Gas Ltd.,ATGL,Utilities:Non-Electrical,55.0,1.5,263338.53,1022.2,509.4,-78.39,0.16,108.99,68.07,1329.92,,,-43.51,9.75,-62.99,10.06,-43.58,-36.45,76.98,-35.58,14.58,0.0,74.8,5,47.85,11.53,24.79,21.08
118,GHCL Ltd.,GHCL,Commodity Chemicals,70.0,61.0,5575.04,1279.13,646.71,208.78,0.14,1.8,4.83,141.41,158.76,1436.89,139.91,53.9,34.34,98.3,144.08,66.55,29.5,104.22,26.72,2.57,19.07,6,702.71,12.94,22.97,20.96
119,SKF India Ltd.,SKFINDIA,Other Industrial Goods,65.0,18.5,17533.93,1041.15,394.95,325.76,0.0,9.3,6.68,77.63,128.9,474.82,4.25,32.27,-12.27,32.67,4.4,23.3,36.7,5.67,7.45,0.82,52.58,7,827.98,15.02,27.57,20.94
120,KPIT Technologies Ltd.,KPITTECH,IT Consulting & Software,80.0,20.83,14154.04,664.81,274.23,11.99,0.0,10.52,9.85,439.22,,,67.82,42.78,14.94,87.65,68.71,12.67,20.75,43.23,4.72,0.53,40.11,7,105.9,11.73,22.33,20.94
121,SBI Cards and Payment Services Ltd.,SBICARD,Finance (including NBFCs),70.0,15.67,73192.42,3016.1,1616.15,127.29,0.0,9.44,5.04,,,,229.41,32.59,111.27,64.16,231.13,50.57,16.35,111.99,-1.35,0.32,69.59,5,178.02,4.66,35.68,20.84
122,Dabur India Ltd.,DABUR,Personal Products,65.0,12.17,90730.19,2616.95,1739.22,95.48,0.05,10.75,14.16,27.67,76.59,352.99,-22.43,12.54,-4.86,2.71,-22.13,-41.54,14.28,-11.33,-14.41,1.07,67.38,4,102.69,14.15,26.71,20.75
123,Rites Ltd.,RITES,Construction & Engineering,60.0,48.5,5525.74,787.52,516.37,-8.82,0.01,2.13,2.88,-1.19,,,-0.7,43.64,-8.97,19.43,-0.71,-1.38,36.92,12.91,-1.18,7.61,72.2,6,228.48,8.86,26.39,20.74
124,Astral Ltd.,ASTRAL,Plastic Products,70.0,10.83,32801.23,1407.0,483.8,56.8,0.01,13.88,7.69,105.98,300.02,6028.19,-18.99,17.19,-30.94,19.63,-19.01,11.08,38.34,-10.17,26.54,0.14,55.73,6,252.4,14.28,27.11,20.7
125,Balkrishna Industries Ltd.,BALKRISIND,Auto Tyres & Rubber Products,50.0,21.0,41955.63,2483.58,1435.38,-9.09,0.07,6.05,3.63,183.74,164.06,1611.59,-1.32,10.95,-32.5,21.9,-1.34,10.59,46.64,0.11,16.05,1.29,58.29,3,774.15,13.07,25.71,20.7
126,Tech Mahindra Ltd.,TECHM,IT Consulting & Software,75.0,41.0,99269.35,12436.08,5566.04,-343.2,0.01,3.27,9.85,45.41,168.53,487.62,38.16,18.01,-11.61,25.7,39.23,10.02,18.42,25.0,5.81,4.41,35.26,7,667.25,12.4,24.44,20.7
127,Gujarat State Petronet Ltd.,GSPL,Utilities:Non-Electrical,65.0,62.83,12060.02,5117.27,1638.29,-278.53,0.05,1.15,68.07,8.39,30.81,215.03,4.6,-2.08,-17.14,1.96,4.6,47.94,58.5,10.38,-7.22,0.94,37.63,6,348.98,10.71,24.25,20.68
128,Bajaj Auto Ltd.,BAJAJ-AUTO,2/3 Wheelers,65.0,31.33,112534.83,8263.7,6165.87,232.0,0.0,3.77,4.97,35.7,39.93,149.49,-1.49,6.6,-3.63,26.95,-1.62,6.75,18.65,8.83,-11.6,3.6,53.77,6,2224.22,17.56,20.59,20.64
129,MphasiS Ltd.,MPHASIS,IT Consulting & Software,55.0,22.17,44648.64,3316.82,1430.89,-228.82,0.0,6.41,9.85,139.28,298.48,554.33,23.17,17.46,-4.84,17.59,23.71,9.61,23.0,23.33,4.93,2.74,55.8,6,796.01,13.3,25.32,20.6
130,Jamna Auto Industries Ltd.,JAMNAAUTO,Auto Parts & Equipment,70.0,28.83,4689.8,627.16,140.8,37.31,0.0,6.85,6.66,119.5,145.62,789.94,20.17,70.83,-6.72,92.98,19.67,52.0,58.08,17.4,40.73,0.85,49.98,8,36.96,11.8,26.64,20.56
131,Persistent Systems Ltd.,PERSISTENT,IT Consulting & Software,75.0,20.5,26926.82,1679.93,690.39,49.99,0.08,7.99,9.85,472.71,446.59,1683.95,45.87,40.29,1.49,53.19,45.9,13.94,36.29,41.55,9.8,0.74,31.26,6,946.46,12.75,23.44,20.49
132,Caplin Point Laboratories Ltd.,CAPLIPOINT,Pharmaceuticals,60.0,32.83,5414.43,350.75,299.84,236.44,0.0,3.59,6.18,60.0,26.8,,18.79,20.09,-4.18,23.76,19.1,5.48,20.59,17.13,4.0,0.49,68.89,4,421.05,17.26,25.28,20.2
133,Sun TV Network Ltd.,SUNTV,Broadcasting & Cable TV,65.0,44.5,16482.59,912.8,1641.85,63.33,0.0,2.02,1.77,-17.68,-47.2,38.2,-15.91,10.43,-4.13,7.66,-15.86,-12.92,10.25,-1.28,-19.2,3.29,75.0,6,440.58,18.45,27.17,20.13
134,Century Plyboards (India) Ltd.,CENTURYPLY,Forest Products,95.0,22.67,11341.93,906.43,313.06,4.44,0.0,7.31,6.13,207.44,75.49,852.43,2.31,58.22,5.59,63.5,2.21,-5.89,42.02,22.07,5.41,0.2,73.04,9,148.69,14.03,29.98,20.1
135,Vardhman Textiles Ltd.,VTL,Textiles,70.0,68.0,7867.94,2755.55,1547.61,-122.21,0.12,0.99,3.69,28.47,17.14,518.44,-73.64,179.41,-8.9,277.37,32.3,-24.84,55.28,24.03,3.99,3.78,62.93,6,581.42,14.08,23.54,20.07
136,Havells India Ltd.,HAVELLS,Other Electrical Equipment/Products,65.0,13.67,69326.24,4470.37,1196.47,422.12,0.05,11.54,8.55,39.29,135.39,873.82,16.08,12.0,-22.81,14.57,16.01,15.26,32.45,3.52,20.8,0.68,59.47,5,202.97,11.36,24.09,19.93
137,Indraprastha Gas Ltd.,IGL,Utilities:Non-Electrical,65.0,36.17,25739.03,2480.31,1502.27,-577.39,0.0,3.39,68.07,17.65,74.73,662.86,14.93,26.85,-27.65,28.12,14.88,14.99,56.0,10.6,8.6,0.98,45.0,7,228.76,13.53,21.81,19.8
138,Aarti Drugs Ltd.,AARTIDRUGS,Pharmaceuticals,45.0,32.17,3758.63,697.23,204.99,2.04,0.13,3.63,6.18,205.21,202.59,2582.75,7.76,-24.63,-23.2,-26.89,7.11,-5.08,15.78,8.62,9.37,0.25,59.83,4,236.1,9.28,22.92,19.78
139,Timken India Ltd.,TIMKEN,Other Industrial Products,80.0,15.5,18354.49,672.3,327.01,-258.78,0.0,11.07,7.94,240.28,276.57,1082.53,129.12,102.8,47.45,128.46,129.17,73.78,55.06,95.02,30.86,0.06,67.8,8,464.3,14.91,25.06,19.74
140,Prince Pipes & Fittings Ltd.,PRINCEPIPE,Plastic Products,65.0,27.5,6791.77,901.3,249.4,8.38,0.0,5.37,7.69,,,,-9.5,14.93,-19.14,12.43,-9.24,31.06,27.44,-7.06,35.72,0.57,62.94,6,241.01,12.86,27.18,19.71
141,Laxmi Organic Industries Ltd.,LXCHEM,Specialty Chemicals,75.0,26.33,7746.23,881.77,256.37,6.44,0.0,5.93,11.55,,,,47.44,69.68,-32.38,101.81,57.94,-30.08,74.79,14.37,2.32,0.17,72.92,6,103.9,11.3,24.96,19.71
142,Hatsun Agro Products Ltd.,HATSUN,Packaged Foods,65.0,12.17,19920.99,1627.31,213.46,-6.62,0.71,17.97,44.45,73.82,104.03,,-38.87,-7.37,-18.92,-11.55,-55.91,-47.35,14.43,-21.17,2.6,0.65,74.26,5,107.03,6.15,19.81,19.65
143,Jubilant Ingrevia Ltd.,JUBLINGREA,Specialty Chemicals,85.0,43.33,7917.86,1304.94,476.71,-3.74,0.04,3.25,11.55,,,,-17.12,610.22,-35.82,776.97,26.18,-46.86,625.3,41.94,0.72,0.57,51.1,7,321.29,12.55,26.96,19.59
144,Asahi India Glass Ltd.,ASAHIINDIA,Auto Parts & Equipment,95.0,25.83,13271.49,951.62,344.78,50.91,0.49,7.61,6.66,149.86,124.58,834.05,51.44,75.69,15.42,159.1,51.34,27.8,29.8,27.52,13.78,0.18,54.24,9,151.32,9.12,23.0,19.56
145,Power Finance Corporation Ltd.,PFC,Finance (including NBFCs),60.0,72.67,27443.65,18873.55,14014.79,3022.53,0.0,0.29,5.04,-23.48,-14.73,19.73,9.67,5.45,-3.03,19.3,9.72,-10.46,6.48,0.82,-1.68,13.47,55.99,5,659.97,1.77,70.06,19.55
146,REC Ltd.,RECLTD,Finance (including NBFCs),55.0,68.83,23738.51,9653.27,10035.2,-538.47,0.0,0.46,5.04,-26.26,-28.98,30.16,10.64,6.77,-3.71,19.78,10.76,-17.02,10.58,0.89,-4.02,10.16,52.63,5,545.03,2.44,66.96,19.55
147,Hindustan Copper Ltd.,HINDCOPPER,Copper,85.0,39.0,8722.56,561.47,373.83,601.15,0.1,4.56,4.32,124.38,43.97,-64.18,330.0,24.54,374.76,239.18,341.75,-48.16,2.78,321.12,0.19,0.39,66.14,7,41.46,12.47,18.83,19.55
148,C.E. Info Systems Ltd.,MAPMYINDIA,Internet Software & Services,65.0,5.67,7262.61,66.62,86.08,16.76,0.0,16.58,6.55,,,,17.99,68.42,13.76,42.15,15.41,49.73,23.43,32.46,28.52,0.15,53.73,6,173.02,16.99,25.85,19.52
149,Bharat Electronics Ltd.,BEL,Defence,70.0,29.83,57613.24,6403.75,2398.93,1422.27,0.0,4.68,4.17,105.7,62.01,503.03,-15.66,4.06,-13.11,14.29,-15.63,93.7,9.6,-19.47,71.27,1.78,51.14,5,105.76,7.07,22.13,19.52
150,DCM Shriram Ltd.,DCMSHRIRAM,Specialty Chemicals,80.0,49.5,14858.96,2824.18,1067.35,327.07,0.17,2.71,11.55,73.26,178.08,1786.83,73.15,55.9,37.84,58.51,73.14,14.69,15.7,69.3,2.42,1.43,66.52,7,733.31,11.39,23.6,19.4
151,Intellect Design Arena Ltd.,INTELLECT,IT Software Products,75.0,27.67,8990.25,522.69,349.08,47.5,0.0,4.92,5.42,151.37,451.32,,17.63,33.04,-5.81,32.85,18.17,-5.55,27.05,30.31,0.22,0.0,30.86,7,281.12,13.45,22.66,19.29
152,IIFL Wealth Management Ltd.,IIFLWAM,Other Financial Services,40.0,29.0,12694.88,578.97,577.74,-294.47,0.0,4.23,6.79,,,,58.54,4.65,-20.74,56.49,60.17,8.19,25.24,33.73,-16.58,5.24,23.14,4,703.69,5.37,35.28,19.27
153,GAIL (India) Ltd.,GAIL,Utilities:Non-Electrical,85.0,77.17,60788.87,27657.93,12256.07,829.74,0.09,0.95,68.07,-10.71,1.49,37.23,40.94,109.17,-14.71,99.73,38.91,-8.64,60.61,38.93,4.4,6.57,51.8,8,299.89,12.69,17.06,19.11
154,Dixon Technologies (India) Ltd.,DIXON,Consumer Electronics,40.0,11.33,21747.03,2954.57,190.15,-31.82,0.3,21.81,9.02,707.74,,,40.87,32.29,5.82,19.01,42.27,35.77,65.91,48.56,-3.92,0.03,34.3,3,348.05,4.44,19.39,19.07
155,Alkem Laboratories Ltd.,ALKEM,Pharmaceuticals,50.0,26.33,35657.87,2504.38,1645.62,-5.39,0.01,4.03,6.18,77.25,63.02,,-55.16,5.69,2.24,3.82,-55.17,-79.53,18.67,1.6,-5.16,1.17,57.13,3,1513.95,11.69,20.63,19.05
156,Jindal Steel & Power Ltd.,JINDALSTEL,Iron & Steel/Interm.Products,85.0,80.0,33974.03,14341.91,6698.54,5464.72,0.24,0.91,2.17,124.58,184.78,-22.54,-23.26,7.4,-51.89,86.2,12.13,18.27,29.37,-26.94,14.49,0.3,60.45,8,739.81,8.82,24.96,18.99
157,Vinati Organics Ltd.,VINATIORGA,Specialty Chemicals,60.0,11.33,19906.3,501.22,346.68,17.6,0.0,10.89,11.55,84.09,323.19,3413.7,42.82,23.14,-19.42,28.71,42.67,21.41,71.05,45.62,31.75,0.0,74.06,6,367.4,16.58,23.38,18.96
158,Pidilite Industries Ltd.,PIDILITIND,Specialty Chemicals,60.0,7.5,107566.23,2518.21,1207.56,-372.0,0.0,16.29,11.55,73.01,162.3,1173.29,-17.08,9.92,-22.39,6.75,-16.93,-29.05,35.07,-13.13,-12.05,0.4,69.94,6,263.5,12.69,22.86,18.85
159,Grindwell Norton Ltd.,GRINDWELL,Other Industrial Products,85.0,12.17,18145.35,570.43,295.65,6.67,0.0,11.48,7.94,184.15,323.42,1211.29,11.42,23.85,-0.39,23.61,11.4,28.72,22.32,7.78,11.36,0.58,58.08,8,292.81,13.98,24.58,18.84
160,Indian Oil Corporation Ltd.,IOC,Oil Marketing & Distribution,65.0,81.67,101955.34,175872.72,25102.23,-653.37,0.47,0.75,1.58,-30.84,-44.52,67.49,-26.35,17.63,-32.01,16.01,-26.38,8.18,61.22,-1.33,6.02,9.7,51.5,7,293.45,6.11,17.61,18.79
161,Adani Green Energy Ltd.,ADANIGREEN,Electric Utilities,75.0,2.83,302526.45,1587.0,489.0,-453.0,16.58,114.36,35.85,4409.68,,,20.83,58.34,4.79,132.86,15.24,146.94,54.15,54.87,4.36,0.0,61.27,6,34.28,0.82,6.57,18.72
162,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare Facilities,85.0,25.0,55175.22,3577.15,1055.61,61.0,0.43,9.35,6.72,192.38,199.89,526.35,-46.73,92.12,-9.04,601.87,-46.3,-60.53,39.0,7.97,-2.54,0.08,29.33,8,823.29,7.98,15.34,18.69
163,Wipro Ltd.,WIPRO,IT Consulting & Software,50.0,33.0,234233.1,21362.8,12229.6,2644.9,0.09,3.58,9.85,51.45,122.05,185.4,4.64,12.95,-19.99,13.27,3.87,3.98,26.5,1.74,2.69,1.4,73.0,3,244.81,11.37,20.43,18.69
164,Linde India Ltd.,LINDEINDIA,Industrial Gases,70.0,9.0,27528.89,548.25,269.96,659.15,0.0,10.14,14.84,537.86,646.77,715.95,-78.23,45.82,-17.62,235.69,-78.24,-2.74,44.08,-66.17,-17.06,0.42,75.0,7,476.15,12.62,13.36,18.68
165,JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement & Cement Products,80.0,55.83,4896.84,1615.66,463.56,45.31,0.5,1.93,2.5,21.63,-15.64,522.05,21.71,1.29,-7.67,14.35,20.16,186.54,14.34,3.6,24.43,0.9,46.31,8,436.61,7.82,18.87,18.5
166,Rail Vikas Nigam Ltd.,RVNL,Construction & Engineering,65.0,72.5,6338.46,6647.52,1182.67,1147.59,0.99,0.99,2.88,9.95,,,20.67,34.46,-0.06,28.22,20.96,29.06,28.44,46.73,27.5,6.64,78.2,5,62.58,5.94,15.05,18.48
167,Oil India Ltd.,OIL,Exploration & Production,85.0,79.83,27072.18,9294.52,5621.63,424.55,0.54,0.82,0.67,39.24,39.34,0.32,122.95,84.15,48.88,59.35,122.8,63.18,32.07,69.85,15.41,4.31,56.66,8,597.37,9.24,18.17,18.39
168,IIFL Finance Ltd.,IIFL,Other Financial Services,70.0,56.67,12145.97,1917.65,1188.05,3568.74,1.61,1.88,6.79,121.73,-44.56,424.34,29.66,24.88,2.37,56.28,29.6,3.57,16.98,19.05,3.23,1.09,24.91,6,346.44,2.58,26.48,18.37
169,Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN,Finance (including NBFCs),40.0,23.0,52641.72,2656.63,2153.51,-1898.36,0.0,4.47,5.04,124.33,196.85,1780.28,179.6,7.34,27.98,41.6,180.15,30.14,6.76,37.93,1.87,0.31,51.55,4,290.72,2.61,60.3,18.29
170,Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Specialty Chemicals,70.0,25.0,30072.54,1100.76,784.08,-5.03,0.1,7.11,11.55,,,,98.11,100.97,32.29,454.75,93.7,6.76,43.25,55.18,6.58,0.07,66.08,8,786.07,11.28,22.6,18.23
171,Affle (India) Ltd.,AFFLE,Internet Software & Services,50.0,10.67,13684.22,344.4,213.88,-20.14,0.08,11.6,6.55,,,,-77.47,64.37,-23.78,58.66,17.03,10.32,106.58,24.51,-7.16,0.0,59.89,4,178.78,11.7,18.04,18.15
172,Cummins India Ltd.,CUMMINSIND,Industrial Machinery,75.0,24.33,27751.88,1569.36,933.74,-69.03,0.0,5.39,8.44,29.08,10.0,125.48,28.29,52.57,2.76,47.04,28.3,-13.32,38.42,20.82,-13.85,1.6,51.0,7,375.06,13.12,18.54,18.14
173,JK Paper Ltd.,JKPAPER,Paper & Paper Products,85.0,61.33,5216.74,1361.81,542.6,-22.5,0.89,1.74,1.34,149.25,231.66,808.41,27.12,77.52,-1.4,126.13,25.19,13.17,43.01,34.9,30.89,1.3,49.63,8,357.39,7.11,14.67,18.11
174,Hindustan Unilever Ltd.,HINDUNILVR,Personal Products,65.0,10.67,544553.03,13846.0,8879.0,-695.0,0.0,11.1,14.16,30.62,112.22,412.24,5.37,10.59,-2.0,11.06,5.4,0.3,11.1,8.59,2.44,1.47,61.9,7,421.36,12.59,20.29,18.09
175,Sona BLW Precision Forgings Ltd.,SONACOMS,Auto Parts & Equipment,80.0,9.17,33205.84,564.32,361.56,27.48,0.02,16.6,6.66,,,,72.28,26.78,-5.24,68.03,75.69,21.08,37.1,18.42,11.3,0.14,67.18,6,69.03,13.92,19.76,18.07
176,J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,Pharmaceuticals,55.0,18.83,12122.08,626.67,385.36,-3.31,0.0,5.67,6.18,328.1,376.33,2429.92,-15.67,-3.03,-14.69,-13.98,-15.67,1.14,14.32,-14.9,3.98,1.05,54.0,5,557.2,14.77,22.93,18.05
177,Hitachi Energy India Ltd.,POWERINDIA,Heavy Electrical Equipment,65.0,11.17,13350.24,1142.13,163.96,,0.0,11.79,10.16,,,,30.93,23.82,-18.0,103.81,31.03,-16.19,43.97,15.86,-0.81,0.0,75.0,6,482.05,5.77,23.74,17.96
178,Birlasoft Ltd.,BSOFT,IT Consulting & Software,75.0,33.33,10354.6,1124.06,463.64,16.53,0.0,4.0,9.85,309.75,202.74,220.17,32.87,20.95,-6.11,44.51,34.27,16.61,17.4,25.2,2.76,1.08,40.4,8,185.73,13.7,23.12,17.94
179,Kajaria Ceramics Ltd.,KAJARIACER,Furniture-Furnishing-Paints,65.0,20.0,14824.28,1108.78,376.98,8.71,0.01,6.78,15.89,59.48,40.13,1050.7,-24.66,20.02,-24.86,22.38,-24.65,-21.52,33.21,-12.8,3.14,0.86,47.5,6,270.55,12.62,22.46,17.76
180,Godrej Agrovet Ltd.,GODREJAGRO,Other Agricultural Products,55.0,28.5,9706.01,2133.92,402.59,-0.09,0.02,3.61,4.25,-0.23,,,115.93,18.03,5.99,28.32,116.1,87.96,32.97,82.09,0.11,1.58,71.64,4,256.89,7.2,19.39,17.74
181,Rashtriya Chemicals & Fertilizers Ltd.,RCF,Fertilizers,80.0,78.5,4361.09,4140.66,680.81,1469.92,0.29,1.14,5.26,30.23,1.61,39.42,38.49,30.79,-18.04,81.4,38.27,48.28,53.9,31.11,11.1,3.96,75.0,7,139.06,6.5,16.77,17.71
182,Firstsource Solutions Ltd.,FSL,BPO/KPO,70.0,51.67,7229.1,1543.54,537.37,-62.74,0.09,2.37,2.92,106.81,225.35,1152.12,182.61,19.35,-0.97,48.57,183.64,-2.26,16.59,99.67,5.47,3.39,53.66,5,86.89,9.41,17.03,17.71
183,TTK Prestige Ltd.,TTKPRESTIG,Houseware,80.0,19.83,11494.57,710.88,304.84,22.7,0.0,6.65,7.77,23.86,47.46,223.03,-90.63,30.13,-12.98,28.74,-6.26,-11.78,24.46,-1.82,-8.86,0.66,70.41,7,248.5,12.62,23.0,17.62
184,Hindustan Petroleum Corporation Ltd.,HINDPETRO,Refineries/Petro-Products,60.0,74.67,31541.42,98818.1,7294.23,841.48,0.78,0.76,1.85,-23.14,-33.61,197.74,-31.29,-35.99,-64.82,-31.59,-34.05,49.18,49.37,-35.8,1.0,10.23,54.9,5,581.11,4.71,10.43,17.61
